txt_material_comments_seller,cd_product_id
AN EW 6005,30030
1.4828,18038
"Zylinder
42 CrMo4
Zylinderaugen
S355
Zylinderrohr
MW450V",18060
Elektro Kupfer,18025
1.2343 und 1.2344,18038
1.4301 und besser,18037
"EN AW-5049 / EN AW-Al Mg2Mn0,8 gemäß DIN EN 573-3:2009-08

blanke Rippenrohe in 3m Stangen",10207
"IPCO1500/1650SM Rostfreier, hochfester martensitischer Stahl",18038
ST37,18061
"Alu-Gußplatten und Profile, G5-S/5083
ALMG 4,5MN
EN-AW-5083",30012
"CuSn10Zn, CuZn25Al5, CuAl10Ni, CuZn25Al5Ni, CuSn12 und CuSn7ZnPb (mit Grafit)",10148
1.4301,10046
1.4542 mit Zertifikat,18037
"Sie sind 26 Boxen aus blank und fabrig Aluminium Profile aufgebaut.
16 Boxen 10m
10 Boxen 6m
gesamte Gewicht ca. 3630 Kg",27735
"Das sind Schrauben, Beilagscheiben und Mutter.",18039
"Es handelt sich um eine alte Messehalle (40 x 40m) besteht aus Fachwerkträgern, Streben und Tragschalen(Trapezblech). 
Die Fachwerkträger bestehen aus Rohre 300mm x 10mm und 150mm x 8mm.",18060
1.4571,10161
"Stahlschrott, mit einigen Stahlgussstücken, Elektromotoren

Standort 65510 Idstein",18060
"1.4849 Gussteile, Lüfterflügel
1.4841 Streckmetall, Führungsgitter",18038
Es handelt sich um Heizkörper aus einem 40 Familienhaus aus dem Baujahr 1975,18060
Textilmaschinen,18060
"Kabelkupfer, Neu",18030
CU,18025
EN 10139 DC04 mit einer Fe/Zn5/Cn/T2 Oberflächenbehandlung nach EN ISO 2081,18060
4404,18039
"Analyse - Millberry

Reinheit: >99,78 %
Kohlenstoff: 0,03 %
Kobalt: 0,001 %
Eisen: 0,005 %
Phosphor: 0,01 %
Schwefel: 0,01 %
Zink: 0,003 %",18025
St 37-2 - ( St 52-3 ),18061
"Installationskabel NYM-I 3x1,5qmm bis 16qmm",18028
"Alles blank cupfer von  Kabel Reste  von E Mobilität Projekt. 
Kabel Mittel Spannung von 70mm²/16mm² Einzel Ader bis 300mm²/16mm2  min 64 % von Gewicht Kupfer",18025
3010,18037
Überwiegend Guss,18060
Werkstoff DC01A Stahl Blech / 1.0330 Material,18060
"Materilanalyse? Ich seh' mir das ganz genau an und halte im Zweifel einen extrem starken Magneten daran,  um etwaige Probleme abzusichern ....",18034
Millberry Blank,18025
99.8,18025
"Kupferband SM1100 (Cu-ETP), 99,9% Cu
(E-Cu nach DIN CW004A), weich,
Festigkeit R200 (RM/Mpa 200 – 250 N/mm²)
gemäß DIN/EN 1652,
Bruchdehnung mind. 30%
max. Ringgewicht ca. 500kg 
Abmessung Breite: 0,20 +/- 0,01 x 1000 -0 + 2mm
Länge ca. 280m",10090
1.4404 mit 3.1 Zeugnis,18039
1.4301,18037
1.4301,18037
"Dx51z100
Dc01",18060
AW5083,18037
Nym kabel ölflex gummikabel etc,18028
Nym kabel ölflex gummikabel etc,18028
st52,18060
"Stahlträger I 600 in 5 m Länge (Materialstärke 20-30 mm)
Gittermasten und sog. U-Masten in 6 bis 9 m Länge (Stromleitungsnetzmasten, Materialstärke 4 - 20 mm)
und sonstige Platten und Profile (Mindestmaterialstärke 5 mm)",18061
IPE 120 3300 lang mit Laschen,18061
Messing Erodierdraht CuZn37,31056
1.4509,18037
"Ringkerntransformator 150VA Sek. 2x30V/2,5A 
3 statische Schirme
72 Stück 1,55 kg/Stück
unbenutzt/neuwertig",10065
02 01 10,18060
S235 mit einer Zugfestigkeit >500N/mm2,18060
"- thinner copper cables (with steel/iron jacket and rubber
cover, aprox. 65% copper, 35% iron) 2361,3 kg",18030
Bagger O&K RH9,18061
"Der Hersteller dieser ""Zinn-Verpackung "" macht darüber keine besonderen Angaben.",18071
Stahl St37,18060
L 1.82M x B 1.50M x H2.10M,18060
HGJF6578,18025
Hhbb,18032
"Stückgewicht: 2.43kg (Total 3782 Stück)
- Kupfer: 590g --> 2231kg
- Aluminium: 235g --> 889kg
- Magnete, Stahl, wenig Kunststoff: 1605g --> 6070kg",10212
Es ist ein Auto vw Polo,31017
"CuAl10,4Ni3,9Fe3,8
(Cu80%)",18035
"CuAl10Ni4Fe4
Rohren",18032
Nein leider nicht,10099
"Kompostierungscontainer C2000 inkl. Schaltschrank mit Steuerung, Planetengetriebemotor, innen Schnecke aus Stahl (ca. 1,5t), Lüfter bestehend aus Rahmen aus Stahl (ca.  7t), innen Edelstahl (ca. 1,5t), außen Aluminium (ca. 500kg )",18037
"SN 100cs - sncu 0,7 Nig  99,25 zinn",18071
"SN 100CS - SnCu 0,7 Nig",18071
"SN 100CS - SnCu 9,7 Nig",18071
DIN EN 2.4856    Inconel 738,18038
"CuZn36Pb3, 2.0402 CuZn38Pb1.5, CuZn40Pb2",18032
"CuZn36Pb3, 2.0402 CuZn38Pb1.5, CuZn40Pb2",18032
Werkstoff 1.4541,10161
Reinheit > 99.9%,18071
Keine Dokumente,18060
Diverse alte Maschinen,18061
Kupferkabel 38%,18028
sauber,18060
Geschältes Kabel,18025
Nein,18060
"Mischschrott. Alte Heizkörper, Stahlträger, etc.",18060
Kupferrohre für Wasser.,18025
Alte spritzgießmaschine,18061
"Cu 79,43%
Sn     2,92%",18032
Ehemalige Lüftungsrohre beim WDR,18037
"Mischkabel zu 99% ohne Stecker bestehend aus Haushaltskabel Industriekabel, einadrig, teilweise 40%, 70% 90%. Im Durchschnitt Kupfergehalt zwischen 40 – 42 % 
Besichtigung und Proben möglich. Kann ebenfalls geliefert werden.",18028
Aluspäne von Gussplatten oder Vollalustangen.,18076
Maße beziehen sich auf die ca. Lagerfläche!,18061
"6 Förderbänder
muss noch auf 6m gschnitten werden

Beladung wäre möglich durch verkäufer",18060
1-5mm,10072
"Aluboardwände mit Anhaftungen. 
Bitte um Preis angeliefert bei Ihnen (DDP).
Siehe Analyse das Alu.",10016
"ESMB Module:
Stückgewicht Ca. 14kg",10139
Keines,18038
"Eisen- und Stahlabfälle, verunreinigt
Eisenhaltiger Staub ohne schädliche Beimengungen",10148
Alte Hebebühne,18061
"Werkzeugstahl, Stückgewicht bis zu 5 to

bitte um ein Angebot angeliefert bei Ihnen, Entladung durch Käufer",18061
"gebrauchte Stahlrohre einer Erdgasleitung, 
aussen mit Kunststoffumhüllung, 
waren im Erdreich verbaut
Demontage erfolgt anfang/mitte März",18061
nein,10197
Stahl,18060
nein,18034
Was meinen Sie mit Materialanalyse? MfG Vogelsang,18060
Kenne mich mit sowas nicht aus,18025
Keins,18038
"Es handelt sich um verzinktes Eisen das hauptsächlich als Stallgatter verbaut ist, aber auch an diversen Maschinen verbaut ist.",18061
Kupfer 99'99,18025
st 52-3,18061
nein,10212
nein,18061
V2A,18037
Original  verpackter  Messing Erodierdraht  Badra,18032
S235,18060
Kleinzeug von Nägle bis Gitter,18060
"Eisen,Stahl",18028
Keine,18060
Formeinsätze aus 1.2343,18061
AISI 316L,18039
"Keine Analyse, Material stammt aus einer Bäckerei.",18061
Stahlträger,18060
Nein,18060
Abisoliertes kupferkabel,18025
"verschiedene Rohre und Leitungen

auch Heizkörper aus Guss",18060
Heizkörper und Rohre aus Eisen (teilweise geschweist),18030
"Matten, Stab",18061
"Träger werden auf max. 6m gekürzt. 
Alles stärker als 6mm",18061
Metall Krankenhausbetten  mechanisch,18060
"Material:   Alu Tuben mit Plastikverschluss, neu
                Tube je 14,37 Gramm, Kunststoff Verschluss 3,7 Gramm
                Material ohne sonstige Verunreinigung (unbenutzt, wie auf Fotos)

Menge:      ca. 5,4 to (300.000 Stk.),
                 in Kartons verpackt auf 75 Europaletten",17966
"ACHTUNG: Schlüsselnummer hier aber 35321g

Hier die Analysen von den 2 letzten Lieferungen:

22.340 kg Cu 56.0%, Sn 8.96%, C 12.2% 
21.876 kg, Cu 54.1%, Sn 8.64%, C 10.7%",4060
Nein,18060
Leider nicht,18060
mischschrott,18060
"Big Paletten Container 

100 to",18025
"Schienenschrott - Material ist noch nicht zugeschnitten, d.h. Sie können eine Wunschlänge vorgeben auf die Sie Ihr Angebot abgeben möchten. Bitte Teilen Sie uns Ihre Vorgaben im Kommentarfeld mit.",18061
Ne,18037
"insgesamt 9 Tonnen, einzelne ""Fächer"" je 79 kg",18060
Nein,18060
AISI 304,18037
"Heizungen , Röhre und Mischschrott mit Anhaftungen ( Holz , Plastik )",18060
"1,20 meter länge DB Bahnschienen",18061
https://www.dropbox.com/sh/qyu07b4l8wd49g9/AADJQD-1uxynSZbjqb7PpJ-za?dl=0,18061
"ESMB Module:
Stückgewicht Ca. 14kg
FSME Module:
Stückgewicht Ca. 11kg plus Zusatzmodule",10139
Nein,18025
Mischschrott leicht,18061
"Keine Vorhanden.
Die einzelnen Mengenangaben können nach unten abweichen.",18037
1.4301,18060
Aisi 316 bzw 1.4401,18039
"Alu Kennzeichen Pakete, lose",10211
nein,18060
Stahl/Eisen,18060
Grauguss und stahl,18061
"12,1 Tonnen 
1.4849",18038
Analyse und Fotos kann ich nachschicken.,18025
Normaler eisenschrott,18060
"1	Rotor	25	
2	Gondel	16	
3	Der Turm	11,76	
4	Kupferkabel	1,5	
5	Transformator	3,5	
6	Generatorstahl	44,5	
7	Generator Kupfer	2,5	
8	Schrauben und Plattformen	1,5",10212
"Niro, Titan",18037
"Kupfer Granulat, grob, 99,8%
in Big Bag, 14 to

Schmelzanalyse:
Mg: 0,0366%
P: 0,026%
Ni: 0,013%
Zn: 0,0388%
As: 0,0177%
Ag: 0,0345%
Sn: 0,0128%",30003
"ca. 170 Stk. Kunststoffspritzgusswerkzeuge bzw. Blechbearbeitungswerkzeuge:


Gesamtgewicht ca. 40-50t, Material auf Paletten",18061
"Edelstahl AiSi 430, 1.4013 : Stanzgitter aufgecoilt zu je ca. 200 bis 400kg, wobei wiederum 3 bis 5 dieser Coils zu einem Bündel zusammengeführt werden.
Monatlich c. 0-40t
Edelstahl AiSi 430, 1.4013. Ronden mit 15-30m Durchmesser und mit einem Einzelgewicht von ca. 3-10g (rieselfähig). Verpackt in Fässern und/oder Bigpacks
Pro Quartal ca. 20-25t

Als aktuelle Sonderaktion einmalig c. 100-120t sofort und sortenrein. Durchmesser ca. 16,5mm sowie 3,5g Gewicht.",10049
"Aluminium Stanz, Leg. 6082, laut Analyse
Material lose",10211
"DEMONTAGE PROJEKT  RAUM Hannover 
Material: ca. 630 Tonnen
Maschine: Stufenpresse aus GGG Material 
Geländer/Plattform/Trägermaterial
Schaltschränke ca. 20 Stück
Mehrere Elektromotoren 270 KW u.ä.
Mehrere Steuerungen Siemens S7 Steuerung voll Funktionsfähig
etc.
Verlademöglichkeit:

2x 50 Tonnen Hallenkran vorhanden
Schienen 5 Meter von der Maschine entfernt (Hallenkran)
LKW Beladung möglich (durch Hallenkran)
Demontage:
Brenntruppe kann es vor Ort zuschneiden, ausbauen & sortieren (Schätzung 2-3 Wochen)",18061
ST37,18061
"20 Tonnen Motore
ca. 5 Stück und kleinere",10212
alte Druckmaschine ca. 10 Tonnen,18061
Nein,18060
Leichtschrott/Shredder,18060
150 to Fe Späne pro Monat,18037
1.4301 und 1.4307,18037
23 to E3 -E3+8mm,18061
Edelstahlbehälter,18039
Nein,18025
"Stahl DC04, Din EN 10139ff: Stanzgitter aufgecoilt zu je ca. 200 bis 400kg, wobei wiederum 3 bis 5 dieser Coils zu einem Bündel zusammengeführt werden.
Monatlich c. 40-80t   (BEISPIELBILDER) 

Stahl DC04, Din EN 10139ff. Ronden mit 15-30m Durchmesser und mit einem Einzelgewicht von ca. 3-10g (rieselfähig), teilweise galvanisiert mit 3-8% Cu, Cu/Zn und/oder Nickel. Verpackt in Fässern und/oder Bigpacks
Pro Quartal ca. 20-25t",3011
"Gussrohrleitung DN125 ca. 2700 m
25 kg/m - gesamt ca. 70 to

Innen mit Zementmörtel ausgekleidet
ca. 6 m Länge

Ab Mitte Juni",18061
"NYM 3x1,5 und NYM 5x2,5...Einzeladern",18028
nein,18025
"Material:  Aluminium Folie mit UV Lack bedruckt
                (Leg 8079, ca. 88% Al)
Menge:    20 to Pak Pal
Logistik: Pakete in Europaletten Größe (1,2x0,8x0,7m)",10193
99,18071
ECO-Brass (CW724R) Stückschrott,18032
"MS58 Späne,",30005
alte Rohre und  Eisen,18060
"Es handelt sich um ein 5,50 Meter lange 0,80 Meter hohe und 0,90 Meter tiefe Maschine. Gewicht 5,5 to. Diese muss in der Halle geteilt werden.",18060
"Leg.: CuZn25Al5Mn4Fe3-C
Maße: 5-30 cm; Dicke 5-20 mm
16.000 Stk.; Neuschrott, ohne jeglichen Anhaftungen",18032
Aluminium mit 8% Kunststoffanhaftungen,10072
"50-200 to Rohre aus einem Kondensator. 
Rohre sind luftgeschwärzt und auf Paletten wie auf den Bildern.",18032
UBC aufbereitet ohne fe und SM. Schmelzverlust 10%,17966
Tests folgen es habdelt sich um Millbery 99.9,18025
alte Rohre und  Eisen,18060
42 CrMo4,18060
"Farbe : RAL 7005 Einbrennlackiert
Stahl",18060
St 37,18061
"6xxxer Alu geschreddert mit 1% Kunststoffanhaftung,
Analyse anbei",10072
"Alu Stück, 2000er und 7000er gemischt",30014
1.4305,18037
"S235JR, 7 Coils, 35t, geglüht, dadurch etwas verzundert",30052
zamak 5,18073
Kupfer Granulat fein,30002
Selbst gesammelte,18025
"Al=68%

506 Kg Al / 744 Kg (total Gewicht per Km)",10209
Ms58,18032
Es handelt sich um Pulverbeschichteten 6mm Starken Stahl,18061
"1- Seller shall supply Railway steel R50/R65 • Specification:
§ R50 (51.67KG/Meter) GOST 7173-75
§ R65 (64.72KG/Meter) GOST 8165-75
§ Length 12.5 Meter / Length of cut pieces 1 -1.5 Meter.
• Chemical Composition of the steel second grad is of international standard as follows:
§ MN:0.60 – 1.05%
§ C: 0.54 – 0.82%
§ SI: 0.18 - 0.40%
§ S: 0.04% Max
§ P: 0.035%Max
§ AS: 0.01 Max of mass share
2- Quantity: 1.000.000 MT for the full contract (shipment can be s Scheduled it with the buyer)
3- Price CIF USD 226
4- Payment Term: 100% of the value paid by MT700, irrevocable, Confirmed from high rank bank.
5- Discharge Port: AWSP
6- Country of Origin: EU and/or KSA.",18037
Hochregallager aus den 80er Jahren. Gemischte Träger und Elektronikkomponenten.,18061
Werkstoffnummer 4301,18037
"Druckbehälter P265GH (warmfester Kesselstahl)
Edelstahlbehälter unbekannt",18037
Bleiakkus von KFZ und Bleiakkus von Flurföderfahrzeugen,18030
"Edelstahl 416-
Ich kann alle Dokumente teilen. Das Produkt ist zuverlässig.",18039
Späne Edelstahl: 316L / 1.4404 (500 kg) auf EURPal,18038
Material 1.4777,10049
"Spundwände und Träger im eingebauten Zustand
Träger HEB 450
Träger HEB 300 6-8 Meter
Spundbohlen (5-7 Meter) FLB700-6 190 to und 
HEB 250 Träger 6-8 Meter 190 to",18061
1.4301,18030
MS58,18032
"1.2714 / 56NiCrMoV7

Material	Abmessung		Länge	Charge	WAZ	Gewicht
2714	112	rd	3545	15668	3.1us	274,03
2714	112	rd	3545	15668	3.1us	274,03
2714	112	rd	3090	15668	3.1us	238,85
2714	112	rd	3610	14701	3.1us	279,05
2714	112	rd	3630	14701	3.1us	280,60
2714	112	rd	3250	14701	3.1us	251,22
2714	112	rd	3625	14701	3.1us	280,21
2714	112	rd	3625	14701	3.1us	280,21
2714	112	rd	3310	14773	3.1us	255,86
2714	112	rd	3340	14773	3.1us	258,18
2714	112	rd	3315	14773	3.1us	256,25
2714	112	rd	3180	14773	3.1us	245,81
2714	112	rd	3275	14773	3.1us	253,16
2714	112	rd	3310	14773	3.1us	255,86
2714	112	rd	2925	14586	3.1us	226,10
2714	112	rd	4175	14586	3.1us	322,72
2714	112	rd	4340	14586	3.1us	335,48
2714	112	rd	3460	15665	3.1us	267,46
2714	112	rd	3660	15665	3.1us	282,92
2714	112	rd	3530	15665	3.1us	272,87
2714	112	rd	3445	15665	3.1us	266,30
2714	112	rd	3565	15665	3.1us	275,57
2714	112	rd	3505	15665	3.1us	270,93
2714	112	rd	3535	15665	3.1us	273,25
2714	112	rd	3525	15665	3.1us	272,48
2714	112	rd	3525	15668	3.1us	272,48
2714	112	rd	3685	15668	3.1us	284,85
2714	112	rd	3635	15668	3.1us	280,98
2714	112	rd	3685	15668	3.1us	284,85
2714	112	rd	3585	15668	3.1us	277,12
2714	112	rd	3555	15665	3.1us	274,80
2714	112	rd	3610	15665	3.1us	279,05
2714	112	rd	3565	15665	3.1us	275,57
2714	112	rd	3635	14524	3.1us	280,98
2714	112	rd	3535	14524	3.1us	273,25
2714	112	rd	3570	15665	3.1us	275,96
2714	112	rd	735	        15665	3.1us	56,81
2714	112	rd	3570	15665	3.1us	275,96
2714	112	rd	3550	15665	3.1us	274,41",18039
"Kupfer 99,9%",18025
"Abgaskamin, 20 m - gesamt ca. 36 to

außen Stahl, Steinwolle, innen Edelstahl V4A Verkleidung",18061
"Material 1.4404 h9 geschliffen als Rundstange 3m, Bunde à 1t",18039
"18 % Chrom, 8 % Nickel und 74 % Stahl",18037
"AlMg3, AlMgSi0,5",30016
1.4307,18037
1.4571,18038
S235 und S355,18061
"Liftstützen, Seilbahn, Sessellift",18060
Verladefähiger Diesel-/Elektrobagger zum Verschrotten,18060
1.0038,18061
"Abbau der Helling / Werftanlage - Der Stahl wird vom Holz befreit und in 1,50 x 0,70m Stücke zerlegt. Stahlanalyse liegt nicht vor",18060
EN AW-6060 (3.3206),27735
geprüft,18039
Elektrolytkupfer von Erosionselektroden,18025
35 - 60% Fe Anteil im trockenen Schlamm,18060
Kupfer Millberry,18025
ist richtig gutes zeug!,10202
ca. 135m NYY-J 4x185 mm² auf Trommel,10209
"X45CrSi9-3
1.4718",10049
"79%Cu,14%Al,ca4-5%Fe - Material nennt sich Ampco;
teilweise Pruefzeugnisse vorhanden",10200
Autokarosserie ca. 20 Stück,10156
PKW Bremsscheiben alt in Gitterboxen,10175
Verschiedene elektromotoren 20 kw,10162
"Betonstahl 6-12  Meter Stangen , neuwertig",18060
ydhg hv,18039
R65 Gost,18061
CuNiFe 90/10,18032
s235 und s355,18060
"Ja , es ist V4a und V2a  neu ungebraucht, Flansche Bögen Anschweissnippel Reduktionen Rohre",18039
"98,5 laut Lieferschein",30004
100%,18025
"Kupfer = 1.100 kg
Bronze = 1045 kg
minderwertige Bronze = 300kg
Edelstahl = 200 kg",18025
Wst.Nr. 1.4301,18039
"CuZn39Pb2 und CuZn39Pb3, rein",18032
Ausgebaute Edelstahlanlagen,18060
"Beschichtungsqualität
Nach EN AW-6060, EN AW-Al MgSi - DIN
(Pressblank) und Beschichtet",18060
S355,18061
Es handelt sich um ca. 3cm Starke Aluplatten,10079
"Maße beziehen sie auf ein Stück. Insgesamt sind es 40 Stk á 3,1to!",18061
95%  und div. Stempel,18071
"Sehr geehrte Damen und Herren!
Wir haben alle Dokumente, die wir brauchen, um jeden Monat bis zu 100 Tonnen zu liefern.",30003
97%/98%,18073
"Ni: 9,99
Mo: 0,188",18039
"99,95%",18025
"1.4301
1.4751",18037
"Helukabel Artikel NYY-O 1x500 rm mm² SW  Art.-Nr. 32558 BL
Helukabel Artikel NYY-O 1x300 rm mm² SW  Art.-Nr. 32102 BL
Helukabel Artikel NYY-O 1x35 rm mm² SW Art.-Nr. 32094 GRY",10099
"66% 1.4301
34% 1.4404",18039
schwere Eisenprofile,18060
"Pos. 7 - Bühne 1 (Stahl, Blech)
Pos. 8 - Bühne 2 (Stahl, Blech)
Pos. 10 - Gitterbox mit Kleinmaterial: Blech, Schrauben, Anbauteile
Pos. 11 - Div. Kleinmaterial, Verkleidungen, gemischt

Abmessungen siehe 000_Aufstellung im Dokumentenanhang",18060
"AVVO/ÖN S 2100	35315		NE-Metallschrott, NE-Metallemballagen

Alu geshredderte aus Elektroaltgeräte 95%  Al  5% Cu 
1 mal pro Quartal 
inkl Abholung in Amstetten",10072
Elektrolytkupfer von Elektroerosions Maschine,18025
CW004A/2.0060,18025
"2.120 Millberry 
Blank ll, 200 kg 
Schwer Berry 98%  150 kg.",18025
58% Kupfer,18032
Elektromotore ohne Getriebe alle ca. 20 kg pro Teil,18037
"IMG_0263 (Interne Nr.WMD03231)
1.4571, t=3mm, 3500x2000mm, einseitig Foliert 100mµ, 63 Tafel, ca. 10450kg / drei der Bleche sind zerkratzt und zum Teil ist die Folie Beschädigt
IMG_0264 (Interne Nr. X0103088)
1.4571, t=3mm, 2260x1225mm, beidseitig Foliert 100mµ, 76 Tafel, ca. 4980kg / drei der Bleche sind zerkratzt und zum Teil ist die Folie Beschädigt
IMG_0265 (Interne Nr. X0103089)
1.4571, t=4mm, 2550x1350mm, einseitig Foliert 100mµ, 108 Tafel, ca. 11750kg / zwei der Bleche sind zerkratzt und zum Teil ist die Folie Beschädigt",18039
"Bleigewichte/Schwerstangen 
Es handelt sich um 34 Stangen (à 335kg Stahl) u. mit jeweils 1000kg gefülltem Blei. 
Ca. 45,5 t. Gesamtmaterial",19556
"C35 -
HT Träger
Schwarzblech",18060
2 stück mobilbagger,18061
Stahl Silos,18060
"Kupferlitzen aus 300² Kabel-selbst geschält 
Schrott Millberry 99,99%",18025
"Millberry 99,99 % Kabelkupfer",18025
Nein,17966
MS58CuZn39pb3,18032
Nein,18025
Es handelt sich um einen Behälter aus Atestblech,10161
Zerlegte Wasseruhren ohne anhaftung,10074
1.4301,18037
Kupfer,18025
Kabel,18028
MS58,18032
Links eine Sorte und rechts eine Sorte. Jeweils Vorder und Rückseite.  Halterungen für Heizungszähler. Neuwertig unbeschichtet.,30030
Baumaschinenschrott,18060
Kabel Geschält 25 -90 mm,18025
wird nachgereicht,10211
wird nachgereicht,10211
NYCWY 4x150/70 qmm,10033
"Erika hartvergoldet,
Nicrolux
Zwei verschiedene 2,500 gramm",18038
48279,18071
1.4571,18039
Circuitfoil TZA-FX Kupferfolie für die Verarbeitung in fleciblen Leiterplatten,10035
Starkstromkabel ohne Stecker,18030
Kupfer Bandblech,18025
Nee,18025
Nein,18060
hanomag bagger r60,18061
Siehe Bilder alles 4429 material,18039
Verschrottung einer Maschine mit schwerem geschweißtem Stahlrahmen.  St37,18060
Eisen,18061
"(N)3GHSSYCY 3x35mm2     12/20kV    1'595m
(N)3GHSSYCY 3x95mm2     12/20kV    6'723m
(N)3GHSSYCY 3x50mm2        6/10kV        310m
(N)3GHSSYCY 3x35mm2        6/10kV        870m",10155
nein,18030
"Nein, habe ich nicht",18061
90 bis 95% Zinn geschirr,18071
123,18076
99.3 % Zinn,18071
Ein Big mit 280kg abgemantelt (ca50% Cu-Anteil). Alles flexibles Kabel.,18028
1.2379,18060
1.0570,18061
optische Sichtung,18030
ST 360 C,18061
s58,18032
Stahl kernschrott,18060
"R50 , 51,67 kg/m-GOST-7173-75
C: 0,6 - 0,82 %
Mn 0,6 - 1,05%
Si: 0,18-0,40%
P:max. 0,035%
S:max.0,04%
AS: 0,04% Mischung aus maximalen Anteil.

/ R65 Bahnschienen
 72 kg/m-GOST-7173-75
C: 0,54 - 0,82 %
Mn 0,6 - 1,05%
Si: 0,18-0,40%
P:max. 0,035%
S:max.0,04%
AS: 0,01% Mischung aus maximalen Anteil.

Foto und Vertragsentwurf vorhanden!
Erfahrungen von Exportverfahren im Preisliste
enthalten! Preis schwankt Monatlich durch internationalen 
Schrottpreisangleichung, Man kann Festpreis vereinbaren!!!




 oder andere Schrottsorten möglich
auf Anfrage! Nicht Kontaminiert mit",18061
120101,18060
"Saubere, bunte Metall Fässer, gepresst zu kaufhausballen, ca. 800x1400x1400 mm, ca. 40 stk passen in zwei 40m3 Abfallcontainer.",18060
AlMg3,30012
"Ich habe blanke Kupferdrähte und Kupferkabel vorwiegend Nym-j 3x2,5   5x2,5  3x1,5",18025
"* 30 % Kupfer, 0,1 % Nickel, 0,1 % Silver, 0,0012 % Gold,",18028
Werkstoff-Nr.: 4301,18037
"Edelstahltank für Wein Pfaudler, Schwetzingen Baujahr 1980",18037
1.4848,18038
"Type L_finned Al 99.5
OD 63,5 Tks 0,4 mm",10211
"Cu 99,5",10089
"Materialnorm ist die Al 1060 / 3.0255, Al99,5R
99,5% reines Aluminium
Es sind Targets welche wir nicht mehr nutzen können.",10211
Leider hab ich keine Material Nummer,18038
alu dosen,17966
"EN-AW 6060 T66
ALMGsi 0,5",30029
EN-AW 6063 T66,27735
70,18025
Alu winkel,27735
1.4301 in Platinen 270mm x 420mm x 1mm Anzahl 47 377 Stück,18037
"1.4541 in Platinen zu 260mm x 210mm x 0,3 mm; Anzahl 15466 Stück",10161
Millbery,18025
"Nickel ca. 8,1 %
Chrom ca. 18 %",18037
"Almsick,5F22",10005
"Almsick,5F22",27735
2.4851 Alloy 601 Rohre,18038
